YEAR,MONTH,DATE,STORE_CODE,CLASS,DIVISION,SEASON,NONINVENTORY,NET_SALE_QTY,NET_SALE_MRPVALUE,NET_SALE_VALUE,FRESH_SALE_QTY,FRESH_SALE_VALUE,DISCOUNTED_SALE_QTY,DISCOUNTED_SALE_VALUE,TAXAMT,NET_SALE_COSTVALUE
2020,Sep,2020-09-30,CBML-007,EBO,SHIRT,SS-20,No,337,644363,372139.35,52,94398,285,277741.35,38431.1,127794.47
2020,Sep,2020-09-30,CBML-189,EBO,SHIRT,SS-20,No,433,857667,514112.72,5,7845,428,506267.72,51309.96,169918.49
2020,Sep,2020-09-30,CBML-446,EBO,JEANS,SS-20,No,77,253623,151159.05,-1,-3699,78,154858.05,16195.82,50337.7
2020,Sep,2020-09-30,CBML-450,EBO,JEANS,SS-20,No,75,248125,153163.65,0,0,75,153163.65,16410.49,48321.61
2020,Sep,2020-09-30,CBML-321,EBO,SHIRT,SS-20,No,220,409980,233134.58,60,105990,160,127144.58,24572.52,81143.58
2020,Sep,2020-09-30,CBML-314,EBO,T-SHIRT,SS-20,No,117,160483,94785.9,2,2298,115,92487.9,4745.23,33597
2020,Sep,2020-09-30,CBML-284,EBO,SHIRT,SS-20,No,152,288948,171110.35,34,60466,118,110644.35,17794.78,56978.27
2020,Sep,2020-09-30,CBML-257,EBO,T-SHIRT,SS-20,No,77,113323,55438.15,31,46369,46,9069.15,4976.26,23720
2020,Sep,2020-09-30,CBML-257,EBO,SHIRT,SS-20,No,216,417384,239737.2,37,68613,179,171124.2,25144.33,83119.55
2020,Sep,2020-09-30,CBML-369,FO,SHIRT,AW-19,No,38,77662,38831,0,0,38,38831,2738.7,15426.59
2020,Sep,2020-09-30,CBML-452,EBO,JEANS,SS-20,No,143,468857,283248.6,0,0,143,283248.6,30348.34,92139.95
2020,Sep,2020-09-30,CBML-279,EBO,T-SHIRT,SS-20,No,83,117817,69221.8,11,15089,72,54132.8,4015.82,24241
2020,Sep,2020-09-30,CBML-374,EBO,JEANS,SS-20,No,56,189044,113426.4,0,0,56,113426.4,12153.06,36364.59
2020,Sep,2020-09-30,CBML-374,EBO,T-SHIRT,SS-20,No,71,105629,62078.6,6,9494,65,52584.6,3521.04,21599
2020,Sep,2020-09-30,CBML-436,EBO,T-SHIRT,SS-20,No,122,171378,79009.25,52,73448,70,5561.25,7313.7,35574
2020,Sep,2020-09-30,CBML-237,EBO,JEANS,SS-20,No,79,270821,165220.16,0,0,79,165220.16,17702.36,51905.76
2020,Sep,2020-09-30,CBML-434,FO,TROUSER,AW-19,No,7,22193,11096.5,0,0,7,11096.5,1188.88,4483.31
2020,Sep,2020-09-30,CBML-292,FO,T-SHIRT,AW-19,No,109,178991,89412.18,0,0,109,89412.18,4463.6,38186
2020,Sep,2020-09-30,CBML-292,FO,JEANS,AW-19,No,176,575124,287395.32,0,0,176,287395.32,30792.18,120072.77
2020,Sep,2020-09-30,CBML-205,EBO,JEANS,SS-20,No,67,228933,137269.8,0,0,67,137269.8,14707.69,44772.79
2020,Sep,2020-09-30,CBML-012,EBO,SHIRT,SS-20,No,226,444624,264105.65,3,5447,223,258658.65,25359.56,89498.94
2020,Sep,2020-09-30,CBML-076,EBO,SHIRT,SS-20,No,164,315986,184210.3,44,81106,120,103104.3,19312.54,62360.88
2020,Sep,2020-09-30,CBML-269,FO,JEANS,AW-19,No,23,78177,38838.5,0,0,23,38838.5,4161.24,16012.49
2020,Sep,2020-09-30,CBML-221,EBO,SHIRT,AW-19,No,-1,-2499,-1249.5,0,0,-1,-1249.5,-133.88,-535.68
2020,Sep,2020-09-30,CBML-299,EBO,JEANS,CLS,No,7,15393,10335.3,0,0,7,10335.3,1107.32,3804.75
2020,Sep,2020-09-30,CBML-299,EBO,SHIRT,SS-20,No,93,181907,112539.95,1,1799,92,110740.95,11219.34,36284.68
